symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
HLT,343.1000061035156,1.259149105152295,1.2510541273432576,0.08546197143340026,0.29113102416663406,0.1494090553309544,100.0,90.76505490867252,72.34315593422993,132.23316761052382,-0.0,4.06287841796875,4.0,1,1,1.0,1.0,0.9740069491383543,0.0,0,US,69.53575328920785,Hilton Worldwide Holdings Inc.,Consumer Cyclical,0.04712202364902729,1.1820208324169057,91.95647270338944,1.0032311566267362,0.04492501182076625,82.73359588128196
GL,159.17999267578125,1.3414196902372222,1.2938638455712181,0.20941755523598476,0.28370944707521706,0.12220380094173722,100.0,59.046327084310825,56.647391479684615,153.8789162725375,-0.0,2.11400146484375,4.0,1,1,1.0,1.0,1.0675812650979029,0.0,0,US,69.49317053795656,Globe Life Inc.,Financial Services,0.038762640104983426,-0.0022652729638577957,78.77902979458284,0.8440760774733903,0.035028457625151166,67.9905753009807
RF,28.540000915527344,1.4068388707000965,1.3279048904893835,-0.005368597043370989,0.35057264478437733,0.06555805715418606,100.0,87.05553896521751,70.22339733118572,149.45976483777133,-0.0,0.36070556640625,4.0,1,1,1.0,1.0,1.0923221188070193,-0.06010707225901357,0,US,69.44090396435777,Regions Financial Corporation,Financial Services,0.029024708399513433,0.18271289004775643,64.09806232312786,0.936619205575039,0.033325317383801734,71.03354015084724
AMD,466.3800048828125,3.83609343353284,2.5919739770469112,13.230972166094876,2.5306420851875395,1.4236346860367046,40.73324835511078,75.23157199101313,58.54900883945513,-36.14672497141712,-59.26675164488922,18.192008463541665,4.0,1,1,1.0,1.0,0.8743177434554184,-0.14034507835162335,0,US,69.41391677116115,"Advanced Micro Devices, Inc.",Technology,-0.09633786679930967,0.1353869228855411,28.288222400382097,0.8185914329813493,-0.0016371079674719624,35.99970727167805
GM,82.11000061035156,1.9656612816037013,1.618689621454374,-0.0029534783549380493,0.6763531050644362,0.09410962300704817,82.40601444897779,83.38448015733736,69.49394149660465,45.45859412537335,-17.593985551022218,1.4596384684244792,4.0,1,1,1.0,1.0,1.0857868941937374,-0.04511658110503558,0,US,69.36964663545864,General Motors Company,Consumer Cyclical,-0.01143693382300126,0.1291045772904226,38.07607592269828,1.1706914016834638,0.027239556060358217,60.6448456038684
HUM,350.0799865722656,0.21270960432178918,0.7731180926202239,3.474321252908965,0.1050439769163749,0.9640410986755323,100.0,99.04798558640141,74.2659753652211,166.50599169669337,-0.0,6.42733154296875,4.0,1,1,1.0,1.0,0.9604196924868718,0.0,0,US,69.3182503176694,Humana Inc.,Healthcare,0.14622477631151787,50.33073413071254,87.51680467608378,0.9437526862104257,0.1454370959405178,87.82928868638373
BG,126.45999908447266,2.2743649237318486,1.7793243844356863,0.10481797413948651,0.7125788935884554,0.09042951582640524,59.349409607921515,81.00234034936908,58.56995753697934,40.81668619098872,-40.650590392078485,1.8914388020833333,4.0,1,1,1.0,1.0,1.0597275083716795,-0.03766839996720883,0,US,69.19258952920266,Bunge Global SA,Consumer Defensive,0.02562851544608935,6.379085304746554,60.719119710600566,1.1995129796924557,0.009718475924156866,75.63099228928041
INCY,102.37999725341797,1.3760409394929556,1.3118791048988132,-0.011805396605848385,0.45404520745452226,0.06712523085398958,100.0,100.0,69.15988601811453,225.4934671243359,-0.0,1.384666951497396,4.0,1,1,1.0,1.0,1.0486283771149172,-0.07407074671258795,0,US,69.16520884237953,Incyte Corporation,Healthcare,0.058300594523381655,0.24554465985142676,69.26229380049132,1.620467339686134,0.049113603339666634,85.57929890779738
FITB,52.0099983215332,1.3273223193341233,1.2865282410475147,-0.0008234465072544464,0.3433930447716105,0.10951006253455997,100.0,90.76577824688196,73.92198508507289,177.47664802277592,-0.0,0.6726664225260417,4.0,1,1,1.0,1.0,1.0002732830719483,-0.047207240272580164,0,US,69.00527808140282,Fifth Third Bancorp,Financial Services,0.04165828166722063,0.6549012726387529,66.09906764242679,1.3407051118986277,0.04535024084602979,82.95993120189885
ODFL,242.57000732421875,0.6400252108728892,0.9336121113361275,0.22753318348629306,0.24688047311257488,0.2521394069356899,92.91690587663324,97.63896862554436,89.80131218630011,126.64328211421049,-7.083094123366762,3.6124165852864585,4.0,1,1,1.0,1.0,0.9296650416197391,-0.012015301795810007,0,US,69.00115829755472,"Old Dominion Freight Line, Inc.",Industrials,0.07873635638794174,55.64907337269039,87.50268264618805,1.1310001353937968,0.10091232977917208,91.73381440885478
